"delay","latitude","longitude","occurrencetimestamp","direction","location","title"
0,49.7996,22.951,"20180408055900+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
0,49.4813,22.701,"20180408054800+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,49.4818,22.6956,"20180408054800+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,52.4709,23.3576,"20180408054100+0200","outbound"," Polowce","No waiting time in Polowce (outbound)$$Keine Wartezeit in Polowce (Ausreise)"
0,52.4696,23.3583,"20180408054100+0200","inbound"," Polowce","No waiting time in Polowce (inbound)$$Keine Wartezeit in Polowce (Einreise)"
60,53.5217,23.6599,"20180408052300+0200","inbound","Kuznica","Waiting time in Kuznica (inbound)$$Wartezeit in Kuznica (Einreise)"
480,53.5197,23.6555,"20180408052300+0200","outbound","Kuznica","Waiting time in Kuznica (outbound)$$Wartezeit in Kuznica (Ausreise)"
0,50.2768,23.5876,"20180408051500+0200","outbound"," Hrebenne","No waiting time in Hrebenne (outbound)$$Keine Wartezeit in Hrebenne (Ausreise)"
0,50.2722,23.5913,"20180408051500+0200","inbound"," Hrebenne","No waiting time in Hrebenne (inbound)$$Keine Wartezeit in Hrebenne (Einreise)"
0,54.341,22.2981,"20180408051500+0200","outbound"," Goldap","No waiting time in Goldap (outbound)$$Keine Wartezeit in Goldap (Ausreise)"
0,54.3441,22.2986,"20180408051500+0200","inbound"," Goldap","No waiting time in Goldap (inbound)$$Keine Wartezeit in Goldap (Einreise)"
0,54.3716,20.6602,"20180408050600+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
0,54.3732,20.6581,"20180408050600+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,51.1817,23.8023,"20180408044800+0200","inbound"," Dorohusk","No waiting time in Dorohusk (inbound)$$Keine Wartezeit in Dorohusk (Einreise)"
240,51.1793,23.8014,"20180408044800+0200","outbound","Dorohusk","Waiting time in Dorohusk (outbound)$$Wartezeit in Dorohusk (Ausreise)"
0,54.3716,20.6602,"20180408043200+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
0,50.097,23.2804,"20180408043200+0200","inbound"," Budomierz","No waiting time in Budomierz (inbound)$$Keine Wartezeit in Budomierz (Einreise)"
0,54.3732,20.6581,"20180408043200+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,50.0956,23.2748,"20180408043200+0200","outbound"," Budomierz","No waiting time in Budomierz (outbound)$$Keine Wartezeit in Budomierz (Ausreise)"
0,49.7998,22.944,"20180408042300+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
0,49.7996,22.951,"20180408042300+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
0,53.5217,23.6599,"20180408035300+0200","inbound"," Kuznica","No waiting time in Kuznica (inbound)$$Keine Wartezeit in Kuznica (Einreise)"
600,53.5197,23.6555,"20180408035300+0200","outbound","Kuznica","Waiting time in Kuznica (outbound)$$Wartezeit in Kuznica (Ausreise)"
0,49.4813,22.701,"20180408035100+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,49.4818,22.6956,"20180408035100+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,49.9549,23.1107,"20180408034400+0200","outbound"," Korczowa","No waiting time in Korczowa (outbound)$$Keine Wartezeit in Korczowa (Ausreise)"
0,49.9555,23.1179,"20180408034400+0200","inbound"," Korczowa","No waiting time in Korczowa (inbound)$$Keine Wartezeit in Korczowa (Einreise)"
0,54.3716,20.6602,"20180408033700+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
0,54.3732,20.6581,"20180408033700+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,54.341,22.2981,"20180408030000+0200","outbound"," Goldap","No waiting time in Goldap (outbound)$$Keine Wartezeit in Goldap (Ausreise)"
0,54.3441,22.2986,"20180408030000+0200","inbound"," Goldap","No waiting time in Goldap (inbound)$$Keine Wartezeit in Goldap (Einreise)"
0,50.2768,23.5876,"20180408025100+0200","outbound"," Hrebenne","No waiting time in Hrebenne (outbound)$$Keine Wartezeit in Hrebenne (Ausreise)"
0,50.2722,23.5913,"20180408025100+0200","inbound"," Hrebenne","No waiting time in Hrebenne (inbound)$$Keine Wartezeit in Hrebenne (Einreise)"
0,54.3732,20.6581,"20180408020600+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,54.3716,20.6602,"20180408020600+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
240,51.1793,23.8014,"20180408015500+0200","outbound","Dorohusk","Waiting time in Dorohusk (outbound)$$Wartezeit in Dorohusk (Ausreise)"
0,51.1817,23.8023,"20180408015500+0200","inbound"," Dorohusk","No waiting time in Dorohusk (inbound)$$Keine Wartezeit in Dorohusk (Einreise)"
0,54.4177,20.0599,"20180408014400+0200","outbound"," Grzechotki","No waiting time in Grzechotki (outbound)$$Keine Wartezeit in Grzechotki (Ausreise)"
0,54.4201,20.0632,"20180408014400+0200","inbound"," Grzechotki","No waiting time in Grzechotki (inbound)$$Keine Wartezeit in Grzechotki (Einreise)"
0,54.3732,20.6581,"20180408012000+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,54.3716,20.6602,"20180408012000+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
240,52.1103,23.5609,"20180408011800+0200","outbound","Koroszczyn","Waiting time in Koroszczyn (outbound)$$Wartezeit in Koroszczyn (Ausreise)"
60,52.1219,23.5707,"20180408011800+0200","inbound","Koroszczyn","Waiting time in Koroszczyn (inbound)$$Wartezeit in Koroszczyn (Einreise)"
0,49.9555,23.1179,"20180408011300+0200","inbound"," Korczowa","No waiting time in Korczowa (inbound)$$Keine Wartezeit in Korczowa (Einreise)"
180,49.9549,23.1107,"20180408011300+0200","outbound","Korczowa","Waiting time in Korczowa (outbound)$$Wartezeit in Korczowa (Ausreise)"
0,49.4813,22.701,"20180408010900+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,49.4818,22.6956,"20180408010900+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,52.4709,23.3576,"20180408010800+0200","outbound"," Polowce","No waiting time in Polowce (outbound)$$Keine Wartezeit in Polowce (Ausreise)"
0,52.4696,23.3583,"20180408010800+0200","inbound"," Polowce","No waiting time in Polowce (inbound)$$Keine Wartezeit in Polowce (Einreise)"
0,50.0956,23.2748,"20180408004100+0200","outbound"," Budomierz","No waiting time in Budomierz (outbound)$$Keine Wartezeit in Budomierz (Ausreise)"
0,50.097,23.2804,"20180408004100+0200","inbound"," Budomierz","No waiting time in Budomierz (inbound)$$Keine Wartezeit in Budomierz (Einreise)"
600,53.1239,23.8889,"20180408003100+0200","outbound","Bobrowniki","Waiting time in Bobrowniki (outbound)$$Wartezeit in Bobrowniki (Ausreise)"
0,53.1235,23.8931,"20180408003100+0200","inbound"," Bobrowniki","No waiting time in Bobrowniki (inbound)$$Keine Wartezeit in Bobrowniki (Einreise)"
0,49.7998,22.944,"20180408000500+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
0,49.7996,22.951,"20180408000500+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
0,50.2768,23.5876,"20180407233400+0200","outbound"," Hrebenne","No waiting time in Hrebenne (outbound)$$Keine Wartezeit in Hrebenne (Ausreise)"
0,50.2722,23.5913,"20180407233400+0200","inbound"," Hrebenne","No waiting time in Hrebenne (inbound)$$Keine Wartezeit in Hrebenne (Einreise)"
0,54.3441,22.2986,"20180407232800+0200","inbound"," Goldap","No waiting time in Goldap (inbound)$$Keine Wartezeit in Goldap (Einreise)"
0,54.341,22.2981,"20180407232800+0200","outbound"," Goldap","No waiting time in Goldap (outbound)$$Keine Wartezeit in Goldap (Ausreise)"
0,51.1817,23.8023,"20180407232400+0200","inbound"," Dorohusk","No waiting time in Dorohusk (inbound)$$Keine Wartezeit in Dorohusk (Einreise)"
480,51.1793,23.8014,"20180407232400+0200","outbound","Dorohusk","Waiting time in Dorohusk (outbound)$$Wartezeit in Dorohusk (Ausreise)"
0,49.4813,22.701,"20180407231600+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,49.4818,22.6956,"20180407231600+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,53.5217,23.6599,"20180407225800+0200","inbound"," Kuznica","No waiting time in Kuznica (inbound)$$Keine Wartezeit in Kuznica (Einreise)"
720,53.5197,23.6555,"20180407225800+0200","outbound","Kuznica","Waiting time in Kuznica (outbound)$$Wartezeit in Kuznica (Ausreise)"
60,52.1219,23.5707,"20180407222300+0200","inbound","Koroszczyn","Waiting time in Koroszczyn (inbound)$$Wartezeit in Koroszczyn (Einreise)"
240,52.1103,23.5609,"20180407222300+0200","outbound","Koroszczyn","Waiting time in Koroszczyn (outbound)$$Wartezeit in Koroszczyn (Ausreise)"
0,54.4345,19.8976,"20180407222000+0200","inbound"," Gronowo","No waiting time in Gronowo (inbound)$$Keine Wartezeit in Gronowo (Einreise)"
0,54.4331,19.8961,"20180407222000+0200","outbound"," Gronowo","No waiting time in Gronowo (outbound)$$Keine Wartezeit in Gronowo (Ausreise)"
0,52.4696,23.3583,"20180407221900+0200","inbound"," Polowce","No waiting time in Polowce (inbound)$$Keine Wartezeit in Polowce (Einreise)"
0,52.4709,23.3576,"20180407221900+0200","outbound"," Polowce","No waiting time in Polowce (outbound)$$Keine Wartezeit in Polowce (Ausreise)"
600,53.1239,23.8889,"20180407215600+0200","outbound","Bobrowniki","Waiting time in Bobrowniki (outbound)$$Wartezeit in Bobrowniki (Ausreise)"
