"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"F","normal",4,0,60,"none/unknown","2018-02-02 01:42:53.908",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 02:12:54.129",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 02:12:54.266",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 02:42:54.403",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 02:42:54.54",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 03:12:54.028",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 03:12:54.165",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 03:42:53.864",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 03:42:54.001",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 04:13:09.933",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 04:13:10.116",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 04:42:55.934",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 04:42:56.074",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 05:12:55.604",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 05:12:55.745",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 05:42:55.629",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 05:42:55.769",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 06:13:12.932",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 06:13:13.075",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 06:42:57.491",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 06:42:57.63",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 07:12:59.5",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 07:12:59.653",50.9239,1.81604,"stable"
